trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.7, 'e': 0.15009463529699918}",30,10,16.2032905326693,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.13508517176729928}",25,5,-25.942970487904592,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.7, 'e': 0.12157665459056935}",20,0,33.670149224734416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.10941898913151242}",30,16,26.181876753084932,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.09847709021836118}",20,0,-1.0237805385299572,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.08862938119652507}",25,18,14.327244637166537,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.07976644307687256}",35,25,6.016539692570444,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.0717897987691853}",30,16,28.729345433398112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.06461081889226677}",30,9,31.015705144665265,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.7, 'e': 0.058149737003040096}",20,10,13.793357298342656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.05233476330273609}",20,11,11.090469261997109,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.047101286972462485}",20,8,-1.8059246736676888,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.04239115827521624}",25,5,-8.825779695402804,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.038152042447694615}",25,9,27.730370682822183,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.03433683820292515}",20,6,26.686558884422215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.030903154382632636}",25,8,-13.99843996604179,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.7, 'e': 0.027812838944369374}",25,11,23.681670453181958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.025031555049932437}",25,7,28.24756826774201,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.022528399544939195}",30,20,18.55852477619512,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.020275559590445275}",20,16,8.110799056880145,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.01824800363140075}",25,3,30.88328052572963,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.016423203268260675}",25,18,17.100004163062266,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.014780882941434608}",20,13,14.446418466402159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.013302794647291146}",25,17,15.705565559844334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.011972515182562033}",20,10,19.260811299242846,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
